region_name,district_name,cluster_name,village_name,cohort,cycle,household_id,total_quantity,variety
Central,Rakai,Kasensero,Nabyala,2025,A,RAK-NAB-SSE-M-091415-18,1,Purple Eggplants
Central,Rakai,Kasensero,Nabyala,2025,A,RAK-NAB-SSE-M-091415-18,2,Spinach
Central,Rakai,Kasensero,Nabyala,2025,A,RAK-NAB-SSE-M-091415-18,1,Sukuma Wiki
South West,Kitagwenda,Nganiko,Kagorogoro_A,2025,A,KIT-KAG-SEK-M-154458-15,1,Amaranths
South West,Kitagwenda,Nganiko,Kagorogoro_A,2025,A,KIT-KAG-SEK-M-154458-15,1,Black night shade
South West,Kitagwenda,Nganiko,Kagorogoro_A,2025,A,KIT-KAG-SEK-M-154458-15,1,Cabbage
South West,Kitagwenda,Nganiko,Kagorogoro_A,2025,A,KIT-KAG-SEK-M-154458-15,1,Green Pepper
South West,Kitagwenda,Nganiko,Kagorogoro_A,2025,A,KIT-KAG-SEK-M-154458-15,1,Nakati
South West,Kitagwenda,Nganiko,Kagorogoro_A,2025,A,KIT-KAG-SEK-M-154458-15,1,Purple Eggplants
South West,Kitagwenda,Nganiko,Kagorogoro_A,2025,A,KIT-KAG-SEK-M-154458-15,1,Spinach
South West,Kitagwenda,Nganiko,Kagorogoro_A,2025,A,KIT-KAG-SEK-M-154458-15,1,Sukuma Wiki
South West,Kitagwenda,Nganiko,Kagorogoro_A,2025,A,KIT-KAG-SEK-M-154458-15,2,Tomatoes
South West,Kitagwenda,Nganiko,Kagorogoro_A,2025,A,KIT-KAG-SEK-M-154458-15,1,White Eggplants
South West,Kitagwenda,Nganiko,Kagorogoro_B,2025,A,KIT-KAG-SWA-M-083357-15,1,Amaranths
South West,Kitagwenda,Nganiko,Kagorogoro_B,2025,A,KIT-KAG-SWA-M-083357-15,1,Black night shade
South West,Kitagwenda,Nganiko,Kagorogoro_B,2025,A,KIT-KAG-SWA-M-083357-15,1,Cabbage
South West,Kitagwenda,Nganiko,Kagorogoro_B,2025,A,KIT-KAG-SWA-M-083357-15,1,Green Pepper
South West,Kitagwenda,Nganiko,Kagorogoro_B,2025,A,KIT-KAG-SWA-M-083357-15,1,Nakati
South West,Kitagwenda,Nganiko,Kagorogoro_B,2025,A,KIT-KAG-SWA-M-083357-15,1,Purple Eggplants
South West,Kitagwenda,Nganiko,Kagorogoro_B,2025,A,KIT-KAG-SWA-M-083357-15,1,Spinach
South West,Kitagwenda,Nganiko,Kagorogoro_B,2025,A,KIT-KAG-SWA-M-083357-15,1,Sukuma Wiki
South West,Kitagwenda,Nganiko,Kagorogoro_B,2025,A,KIT-KAG-SWA-M-083357-15,2,Tomatoes
South West,Kitagwenda,Nganiko,Kagorogoro_B,2025,A,KIT-KAG-SWA-M-083357-15,1,White Eggplants
South West,Kitagwenda,Nganiko,Kahenda,2025,A,KIT-KAH-MET-M-091114-15,1,Amaranths
